SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220824-0000023,35:09.5,2231.09,1407.94,1277.65,30.3,4478.34,117.16,205.03,30.3,480.76,1209.147078,151.9787662,159.8751299,30.3,104.5153247,16.99292208,12.3561039,30.3,53.54311688,0,0,11.11,30.3,40.4,0,0,30.3,40.4,863.6463814,167.9452874,176.8408228,0,489.3917983,17.21857828,22.87404598,0,71.80481653,31504.06241,3542.710928,0,4989.551889,0
20220824-0000024,36:21.2,2231.09,1589.74,2950.21,30.3,4488.44,183.82,165.64,30.3,480.76,1198.144872,154.0962179,201.9935256,30.3,155.5011538,17.77858974,12.32717949,30.3,48.21455128,0,1.01,16.16,30.3,40.4,0,1.01,30.3,40.4,875.712039,183.2604275,346.4062681,0,677.3011521,20.74782941,18.97268596,0,55.8254474,31778.62384,3146.026825,0,4804.112192,0
20220824-0000025,37:43.2,2225.03,1088.78,2437.13,30.3,4488.44,183.82,20.2,30.3,468.64,1203.303506,155.1005844,170.6768831,30.3,152.6674026,17.4388961,8.860454545,30.3,55.67461039,0,2.02,11.11,30.3,40.4,0,1.01,30.3,40.4,865.2265501,170.2644104,241.0364856,0,687.6048451,22.41067906,5.535260591,0,75.94959769,32047.34747,3591.332393,0,5026.4393,0
20220824-0000026,38:56.2,2231.09,1567.52,2548.23,30.3,4434.91,123.22,80.8,30.3,468.64,1212.413182,160.8064286,187.8272078,30.3,104.2661039,17.58318182,9.562207792,30.3,50.66396104,0,1.01,3.03,30.3,40.4,0,1.01,30.3,40.4,871.4630299,206.7506058,312.6176378,0,487.3612543,18.21516184,8.396469734,0,62.94055906,31997.5575,3261.966031,0,4964.344108,0
20220824-0000027,40:17.2,2231.09,1383.7,2548.23,30.3,4713.67,140.39,207.05,30.3,416.12,1183.240897,141.9503205,169.1491026,30.3,159.6253205,18.29653846,15.63557692,30.3,45.21044872,0,1.01,7.07,30.3,40.4,0,1.01,30.3,40.4,876.9811509,141.5265093,280.2467513,0,701.9468672,20.43199224,31.5716744,0,42.21340837,31599.52256,3515.853996,0,4931.256596,0
20220824-0000029,41:31.2,2225.03,1590.75,2231.09,30.3,4192.51,140.39,204.02,30.3,4158.17,946.2102551,162.3575,146.4757653,30.3,82.83030612,17.64408163,11.98602041,30.3,73.13739796,0,0,22.22,30.3,40.4,0,1.01,30.3,40.4,919.6524381,168.429174,233.9886763,0,417.0319809,16.12483836,27.41271242,0,299.894115,31693.295,3205.812008,0,4990.609487,0
20220824-0000030,42:54.2,2227.05,1571.56,2853.25,30.3,4689.43,107.06,86.86,30.3,437.33,1013.814946,159.8434783,144.7922826,30.3,158.9707065,16.54423913,9.358967391,30.3,46.69603261,0,1.01,4.04,30.3,40.4,0,0,30.3,40.4,909.5099233,193.181407,244.6828953,0,695.8335453,13.1428499,11.91359034,0,48.53564589,31170.65131,2369.485273,0,4453.583105,0
20220824-0000031,45:00.4,2227.05,1590.75,3126.96,30.3,4667.21,153.52,145.44,30.3,441.37,916.9506404,163.8239901,172.844335,30.3,67.40133005,18.21980296,9.085024631,30.3,50.08206897,0,1.01,19.19,30.3,40.4,0,1.01,30.3,40.4,920.3736358,175.1733372,347.7928895,0,326.3714262,16.74102003,14.59035631,0,60.91286576,31934.49512,2308.842065,0,4383.278582,0
20220824-0000031,45:00.4,2215.91475,1670.2875,3126.96,30.3,4667.21,153.52,145.44,30.3,441.37,962.7981724,147.4415911,172.844335,30.3,67.40133005,18.21980296,9.085024631,30.3,50.08206897,0,1.01,19.19,30.3,40.4,0,1.01,30.3,40.4,911.1698995,157.6560035,347.7928895,0,326.3714262,18.41512203,14.59035631,0,67.00415234,32253.84007,2077.957858,0,4821.60644,1
20220824-0000032,46:37.7,2227.05,660.54,3018.89,30.3,4396.53,171.7,135.34,30.3,463.59,1247.04973,144.6347297,200.1028378,30.3,103.9139865,17.98209459,12.11317568,30.3,48.49364865,0,0,5.05,30.3,40.4,0,0,30.3,40.4,852.3848841,122.4554269,336.5374749,0,493.3597101,22.0333561,16.45680526,0,56.28816428,31558.28628,3611.575365,0,4989.735653,0
20220824-0000033,47:51.7,2227.05,1000.91,1237.25,30.3,4667.21,106.05,145.44,30.3,438.34,1095.071706,150.5078235,149.0462941,30.3,102.1466471,16.64123529,12.68441176,30.3,47.30364706,0,0,11.11,30.3,40.4,0,0,30.3,40.4,895.3986702,140.2584465,177.647004,0,477.2618427,15.08110059,21.37246127,0,51.43201841,31423.8775,2918.051373,0,4785.152926,0
20220824-0000033,47:51.7,2227.05,980.8918,1237.25,30.3,4667.21,106.05,145.44,30.3,438.34,1073.170272,145.9925888,149.0462941,30.3,102.1466471,16.64123529,12.68441176,30.3,47.30364706,0,0,11.11,30.3,40.4,0,0,30.3,40.4,904.3526569,136.0506931,177.647004,0,477.2618427,15.83515562,21.37246127,0,54.00361933,32995.07138,2830.509832,0,5024.410572,1
20220824-0000034,49:21.7,2228.06,1139.28,2225.03,30.3,4271.29,124.23,136.35,30.3,418.14,1201.704516,148.8088387,186.5111613,30.3,70.38722581,17.40458065,13.04529032,30.3,45.28058065,0,0,20.2,30.3,40.4,0,0,30.3,40.4,869.1544617,147.8309533,274.6411418,0,340.168753,18.41276323,20.8931166,0,42.63186918,31399.44762,3529.497973,0,5014.959721,0
20220824-0000035,50:34.7,2214.9098,1648.017,1290.78,30.3,4626.81,97.97,155.54,30.3,436.32,1278.470381,136.8719419,148.2940645,30.3,133.4959355,16.88980645,13.15606452,30.3,45.52819355,0,1.01,9.09,30.3,40.4,0,0,30.3,40.4,865.8107858,152.1417586,151.2923258,0,605.2054078,17.59140537,21.09117919,0,49.08713945,31714.82943,2936.238011,0,5446.278826,1
20220824-0000035,50:34.7,2226.04,1569.54,1290.78,30.3,4626.81,97.97,155.54,30.3,436.32,1217.590839,152.0799355,148.2940645,30.3,133.4959355,16.88980645,13.15606452,30.3,45.52819355,0,1.01,9.09,30.3,40.4,0,0,30.3,40.4,874.5563493,169.0463985,151.2923258,0,605.2054078,15.9921867,21.09117919,0,44.62467223,31400.82122,3262.486679,0,4951.162569,0
20220824-0000036,51:55.7,2216.9197,918.393,2537.12,30.3,4678.32,124.23,156.55,30.3,4171.3,1204.773824,124.9931111,189.3375926,30.3,152.2045062,17.6562963,10.52395062,30.3,65.91185185,0,1.01,16.16,30.3,40.4,0,1.01,30.3,40.4,879.9821645,104.0005815,344.7242811,0,672.0277425,18.88376589,15.71079199,0,355.9183212,32251.83251,2838.361682,0,5257.944156,1
20220824-0000036,51:55.7,2228.06,874.66,2537.12,30.3,4678.32,124.23,156.55,30.3,4171.3,1147.403642,138.8812346,189.3375926,30.3,152.2045062,17.6562963,10.52395062,30.3,65.91185185,0,1.01,16.16,30.3,40.4,0,1.01,30.3,40.4,888.8708733,115.5562017,344.7242811,0,672.0277425,17.1670599,15.71079199,0,323.5621102,31932.50744,3153.735202,0,4779.949233,0
20220824-0000037,53:16.7,2228.06,1092.82,3028.99,30.3,4212.71,171.7,208.06,30.3,446.42,1248.946892,147.3371622,203.4877027,30.3,79.95378378,18.09810811,15.25236486,30.3,50.94358108,0,1.01,14.14,30.3,40.4,0,0,30.3,40.4,856.1890197,140.4529548,384.1869433,0,347.5628793,21.84890743,26.4757552,0,63.25155726,32030.58753,3563.126999,0,5072.186917,0
20220824-0000038,54:31.2,2228.06,1084.74,2537.12,30.3,458.54,169.68,159.58,30.3,463.59,1189.419745,149.2033758,214.3966242,30.3,45.77808917,17.40159236,13.45165605,30.3,50.84095541,0,1.01,19.19,30.3,40.4,0,1.01,30.3,40.4,875.5420305,153.216494,368.6175742,0,46.66502056,21.4682425,22.98613437,0,64.2315346,31201.07756,3198.805974,0,4870.843994,0
20220824-0000039,55:52.2,2224.02,1306.94,1840.22,30.3,4346.03,184.83,97.97,30.3,4150.09,1260.954082,152.9909524,201.4434694,30.3,103.6314966,19.53353741,10.77333333,30.3,76.65693878,0,1.01,12.12,30.3,40.4,0,1.01,30.3,40.4,842.5976704,189.1575747,278.6500832,0,492.7384636,27.65611592,11.36606934,0,341.9898017,31599.96494,3534.509629,0,5033.864069,0
20220824-0000041,57:06.2,2227.05,1584.69,1214.02,30.3,4346.03,59.59,159.58,30.3,414.1,1211.986883,158.7798701,169.338961,30.3,155.5662338,15.05818182,15.03194805,30.3,45.25324675,0,1.01,12.12,30.3,40.4,0,1.01,30.3,40.4,865.8619256,215.5730334,193.5488929,0,672.4871289,11.61775535,26.67668858,0,42.31319277,31288.64759,3400.888515,0,4997.973493,0
20220824-0000042,58:22.2,2225.03,1584.69,2426.02,30.3,4697.51,115.14,84.84,30.3,497.93,1212.396078,137.855098,206.3634641,30.3,127.7352941,17.8169281,11.49287582,30.3,53.70163399,0,0,19.19,30.3,40.4,0,1.01,30.3,40.4,873.5548506,152.5728852,333.8114866,0,599.9228649,16.45980027,13.53590338,0,72.53779367,31857.35738,3526.37537,0,4978.95665,0
20220824-0000043,59:36.2,2225.03,1570.55,1622.06,30.3,4705.59,182.81,221.19,30.3,4179.38,782.9951046,154.6187448,112.3170711,30.3,98.56585774,19.15196653,8.506820084,30.3,66.23317992,0,1.01,14.14,30.3,40.4,0,0,30.3,40.4,908.0355621,139.4484061,161.4462378,0,500.4275863,19.88073173,19.25153644,0,272.9367156,31739.36009,3574.038307,0,5092.691353,0
20220824-0000045,02:08.1,2226.04,1570.55,2527.02,30.3,4582.37,151.5,168.67,30.3,4179.38,752.7730364,153.9002834,136.705749,30.3,96.60834008,17.94692308,7.282631579,30.3,61.95348178,0,4.04,7.07,30.3,40.4,0,0,30.3,40.4,898.0635998,135.5406901,283.8249769,0,477.8422546,14.99706045,13.36880699,0,266.0641273,31858.27244,3290.521286,0,5057.436097,0
20220824-0000046,04:55.2,2224.02,1405.92,2047.27,30.3,4192.51,153.52,173.72,30.3,436.32,1148.887469,164.9105556,169.5677778,30.3,96.71685185,16.21611111,13.90932099,30.3,49.90771605,0,2.02,17.17,30.3,40.4,0,1.01,30.3,40.4,883.5139606,184.419619,239.546014,0,459.6777117,16.24822361,25.94573467,0,59.77339394,31224.89134,1553.525991,0,3734.225759,0
20220824-0000047,06:23.1,2226.04,916.07,2527.02,30.3,4646,154.53,219.17,30.3,4142.01,1218.879805,146.3385065,213.8904545,30.3,97.32071429,16.83551948,13.15623377,30.3,72.17564935,0,1.01,9.09,30.3,40.4,0,0,30.3,40.4,867.3977326,122.6874249,369.6347685,0,496.5607771,18.72421592,23.23168814,0,331.912363,32053.17012,2980.819602,0,4864.309664,0
20220824-0000048,07:44.1,2225.03,728.21,2993.64,30.3,4481.37,178.77,136.35,30.3,4157.16,1265.80483,140.8297279,208.8363946,30.3,129.9602041,18.70217687,13.41170068,30.3,76.40272109,0,0,10.1,30.3,40.4,0,1.01,30.3,40.4,848.8942325,113.5222084,325.8950599,0,601.4809478,24.78862503,19.43240491,0,342.2565951,31691.00634,3269.515883,0,4930.035698,0
20220824-0000049,08:57.2,2226.04,1202.607,1954.35,30.3,4646,107.06,204.02,30.3,4142.01,1241.768067,141.1034585,186.4377551,30.3,144.5536735,16.95013605,12.43605442,30.3,81.35653061,0,0,4.04,30.3,40.4,0,1.01,30.3,40.4,858.8314958,133.5447116,259.0269279,0,644.5207531,17.47855371,20.27664413,0,360.334042,33077.42556,3419.527991,0,5296.827713,1
20220824-0000049,08:57.2,2226.04,1227.15,1954.35,30.3,4646,107.06,204.02,30.3,4142.01,1267.110272,145.467483,186.4377551,30.3,144.5536735,16.95013605,12.43605442,30.3,81.35653061,0,0,4.04,30.3,40.4,0,1.01,30.3,40.4,850.3282137,137.6749604,259.0269279,0,644.5207531,16.64624163,20.27664413,0,343.1752781,31502.31006,3525.286588,0,5044.597822,0
20220824-0000050,10:11.1,2224.02,1371.58,2993.64,30.3,4297.55,178.77,101,30.3,4170.29,1260.445646,154.667415,222.5985034,30.3,156.687415,17.9807483,10.75959184,30.3,79.06170068,0,1.01,10.1,30.3,40.4,0,0,30.3,40.4,849.8358891,161.5793837,354.9391316,0,679.2598609,19.7199569,11.94560892,0,344.4560761,31776.77756,3531.280209,0,4981.70266,0
20220824-0000051,11:24.2,2226.04,899.7282,1652.36,30.3,4519.75,107.06,204.02,30.3,440.36,1232.301,133.3391694,165.4819728,30.3,107.7470748,15.42482993,13.48040816,30.3,43.16204082,0,0,4.04,30.3,40.4,0,1.01,30.3,40.4,855.1575116,119.9491243,192.2882965,0,503.6405391,14.74143183,22.74871638,0,34.52150294,33552.11597,3431.78231,0,5214.586469,1
20220824-0000051,11:24.2,2226.04,918.09,1652.36,30.3,4519.75,107.06,204.02,30.3,440.36,1257.45,137.4630612,165.4819728,30.3,107.7470748,15.42482993,13.48040816,30.3,43.16204082,0,0,4.04,30.3,40.4,0,1.01,30.3,40.4,846.6906056,123.6588911,192.2882965,0,503.6405391,14.03945889,22.74871638,0,32.87762184,31954.39616,3537.919907,0,4966.272827,0
20220824-0000052,12:38.1,2230.08,888.8,1220.08,30.3,4192.51,118.17,206.04,30.3,4170.29,927.39,155.45,123.13,30.3,122.59,17.99,10.79,30.3,85.04,0,1.01,2.02,30.3,40.4,0,0,30.3,40.4,916.375748,113.0976605,160.9388764,0,578.2248916,17.0443266,25.26226013,0,410.2697965,31997.09997,3563.069858,0,5070.129358,0
20220824-0000053,13:51.1,2224.02,1180.69,1652.36,30.3,4542.98,161.6,112.11,30.3,437.33,1033.74337,140.3230387,154.630442,30.3,136.5453039,18.0739779,10.35110497,30.3,44.80828729,0,2.02,13.13,30.3,40.4,0,0,30.3,40.4,909.3854062,116.7771816,234.3020498,0,624.5127625,19.58003385,15.65964533,0,41.38819277,31599.98009,3565.294703,0,5080.307752,0
20220824-0000054,15:14.6,2226.04,662.56,1281.69,30.3,4189.48,66.66,181.8,30.3,450.46,851.531,144.9166364,144.4116364,30.3,78.12809091,16.43545455,10.76109091,30.3,47.59854545,0,2.02,1.01,30.3,40.4,0,0,30.3,40.4,916.9445684,96.8975169,241.6808717,0,393.8202955,10.11338424,23.9731162,0,52.41471076,31599.00241,3548.426488,0,5077.896985,0
20220824-0000063,16:46.9,2228.06,995.86,2254.32,30.3,4198.57,131.3,115.14,30.3,437.33,1232.45085,138.3039869,181.0672549,30.3,73.12928105,15.74411765,12.92535948,30.3,45.47640523,0,0,4.04,30.3,40.4,0,1.01,30.3,40.4,862.372765,130.4338118,254.8581306,0,338.0408551,15.6102253,19.12222786,0,44.12212678,30770.28125,3397.057044,0,4933.589868,0
20220824-0000056,17:19.2,2225.03,1409.96,2909.81,30.3,4333.91,133.32,204.02,30.3,40.4,1258.109867,167.3502667,192.6676,30.3,153.3449333,18.63786667,13.9784,30.3,40.4,0,0,21.21,30.3,40.4,0,1.01,30.3,40.4,855.200654,228.1306372,347.121822,0,682.0564121,20.11306329,25.94063394,0,0,31691.96988,2398.883717,0,4352.970347,0
20220824-0000058,18:42.2,2226.04,582.77,933.24,30.3,458.54,130.29,82.82,30.3,420.16,1085.581667,137.6335417,124.60875,30.3,49.13229167,15.19208333,8.3325,30.3,48.33270833,0,0,14.14,30.3,40.4,0,1.01,30.3,40.4,933.0535556,109.2980476,138.5779614,0,59.72592224,19.34460734,11.96531308,0,54.2435846,32020.23503,3187.011128,0,4896.20202,0
20220824-0000059,19:33.5,2223.01,995.86,1226.14,30.3,4178.37,181.8,114.13,30.3,436.32,1248.268182,156.0777922,173.0379221,30.3,105.2498701,16.52727273,11.64779221,30.3,55.3925974,0,1.01,16.16,30.3,40.4,0,1.01,30.3,40.4,868.3886161,162.0072006,197.4422089,0,472.2143116,22.41893365,16.90959677,0,74.48803746,31613.45753,3356.347466,0,4892.51589,0
20220824-0000060,19:39.7,2232.1,991.82,1951.32,30.3,4668.22,85.85,85.85,30.3,4177.36,1331.26,173,183.45,30.3,262.57,17.67,14.1,30.3,97.67,0,0,11.11,30.3,40.4,0,1.01,30.3,40.4,801.3757748,187.367568,219.7525925,0,960.1031042,16.32806357,16.03129371,0,417.8864606,31932.25494,3497.895706,0,4913.064025,0
20220824-0000061,19:56.1,2226.04,1409.96,2968.39,30.3,461.57,184.83,204.02,30.3,420.16,1253.430336,154.6994631,218.8175168,30.3,48.48677852,17.84785235,12.39114094,30.3,45.49744966,0,4.04,19.19,30.3,40.4,0,1.01,30.3,40.4,855.4806651,187.6073975,404.0191348,0,56.44577989,20.56482021,21.70950136,0,43.58960554,31902.15997,3743.530229,0,5172.254647,0
20220824-0000062,21:10.1,2226.04,961.52,1113.02,30.3,4255.13,92.92,165.64,30.3,463.59,1248.656267,145.7766667,163.1082667,30.3,157.2233333,16.59093333,15.94453333,30.3,56.38493333,0,4.04,16.16,30.3,40.4,0,0,30.3,40.4,866.804124,135.8760595,161.2442218,0,673.6224595,15.32426975,27.14586115,0,78.39891856,29910.70762,3349.614247,0,4745.957893,0
20220824-0000062,21:10.1,2226.04,942.2896,1113.02,30.3,4255.13,92.92,165.64,30.3,463.59,1223.683141,141.4033667,163.1082667,30.3,157.2233333,16.59093333,15.94453333,30.3,56.38493333,0,4.04,16.16,30.3,40.4,0,0,30.3,40.4,875.4721652,131.7997777,161.2442218,0,673.6224595,16.09048324,27.14586115,0,82.31886449,31406.243,3249.125819,0,4983.255788,1
20220824-0000064,23:41.1,2232.1,703.97,2558.33,30.3,4403.6,99.99,176.75,30.3,434.3,1256.132905,141.4,223.2714189,30.3,126.8437162,16.58310811,14.84972973,30.3,48.18655405,0,1.01,17.17,30.3,40.4,0,0,30.3,40.4,851.1143485,117.1095777,366.9791574,0,602.0100892,15.06543229,23.88227971,0,53.95011648,31504.59872,3475.817261,0,5007.312714,0
20220824-0000065,24:54.2,2223.01,910.01,2265.43,30.3,4425.82,184.83,171.7,30.3,463.59,1238.239934,150.8177483,197.5988079,30.3,135.574106,19.14317881,13.86576159,30.3,53.32933775,0,2.02,6.06,30.3,40.4,0,0,30.3,40.4,863.4325017,144.7151062,292.2783976,0,592.6351255,25.05577014,23.3164712,0,69.94290485,31288.42741,3415.394096,0,5041.853263,0
20220824-0000066,26:10.1,2228.06,1053.43,1839.21,30.3,4266.24,188.87,204.02,30.3,486.82,1233.21,152.6571523,175.4256291,30.3,125.9958278,17.97933775,14.08649007,30.3,51.2692053,0,0,10.1,30.3,40.4,0,0,30.3,40.4,860.3317181,159.9638398,235.4924835,0,582.8575605,20.67070403,25.60986698,0,66.02238974,31045.47494,3487.907476,0,4953.974591,0
20220824-0000067,27:26.1,2225.03,1570.55,2543.18,30.3,4306.64,103.02,171.7,30.3,419.15,1256.358658,162.8743624,178.8716779,30.3,69.15449664,16.55315436,12.19456376,30.3,47.99872483,0,2.02,7.07,30.3,40.4,0,0,30.3,40.4,861.037675,207.2153799,257.8488725,0,348.3355526,15.26782024,17.65892058,0,52.96457759,31998.96241,3379.362782,0,4913.041291,0
20220824-0000068,28:41.1,2227.05,652.46,1251.39,30.3,44.44,99.99,125.24,30.3,4163.22,1237.452,133.8721333,169.0874667,30.3,40.49426667,16.7256,10.77333333,30.3,155.3514667,0,4.04,6.06,30.3,40.4,0,1.01,30.3,40.4,869.1274395,121.0398972,197.1324639,0,0.579329,16.21810702,14.45559644,0,669.1851635,31600.10634,3354.937983,0,4891.667939,0
20220824-0000069,29:55.1,2228.06,1053.43,1206.95,30.3,4615.7,182.81,178.77,30.3,4157.16,1241.040867,155.8362667,168.5892,30.3,102.1514,17.52013333,12.07286667,30.3,75.71633333,0,1.01,12.12,30.3,40.4,0,0,30.3,40.4,861.68642,162.0439121,179.7193454,0,507.05682,20.05795967,21.05688805,0,338.8927359,31289.37378,3457.289757,0,4999.635698,0
20220824-0000070,31:10.1,2227.05,1584.69,1902.84,30.3,4701.55,81.81,82.82,30.3,438.34,1241.276711,165.2014474,174.5040789,30.3,161.8126316,16.45236842,11.41565789,30.3,55.8025,0,2.02,14.14,30.3,40.4,0,0,30.3,40.4,862.7892492,218.4153102,247.6261902,0,706.7392043,14.3193674,13.65834871,0,76.00311829,31600.10634,3437.771642,0,5008.72441,0
20220824-0000071,31:11.2,2224.02,756.49,2543.18,30.3,4616.71,185.84,205.03,30.3,425.21,1258.697248,146.7211409,187.432953,30.3,129.8968456,16.72939597,12.8114094,30.3,50.63557047,0,1.01,6.06,30.3,40.4,0,0,30.3,40.4,852.606637,127.7202278,283.7584664,0,604.9947897,19.5310035,22.92861783,0,61.46435042,31289.37378,3459.982377,0,4954.099643,0
20220824-0000072,32:24.1,2223.01,1580.65,1887.69,30.3,4291.49,106.05,173.72,30.3,419.15,1222.086711,155.1678947,204.4452632,30.3,107.4188158,17.58197368,12.35921053,30.3,45.38355263,0,2.02,17.17,30.3,40.4,0,1.01,30.3,40.4,859.9645019,209.0247738,304.5281286,0,487.8426724,18.21637511,21.21365159,0,43.16256833,32019.31997,3575.880318,0,5158.248937,0
20220824-0000074,33:41.1,2227.05,1021.11,2551.26,30.3,4346.03,98.98,104.03,30.3,438.34,1238.3004,147.1974,189.7116667,30.3,130.2428667,16.42933333,14.25446667,30.3,48.2376,0,0,4.04,30.3,40.4,0,1.01,30.3,40.4,850.9251049,141.5694909,296.8438642,0,590.2678279,15.83750769,20.07274499,0,54.78391936,31856.99378,3460.331751,0,5088.479208,0
20220824-0000075,34:56.1,2226.04,777.7,2118.98,30.3,4196.55,185.84,127.26,30.3,462.58,1246.728986,138.2062162,183.1443919,30.3,71.2322973,17.32013514,12.24966216,30.3,43.27986486,0,1.01,20.2,30.3,40.4,0,1.01,30.3,40.4,850.7231526,130.0435147,235.8885773,0,343.016933,20.47277007,16.94698229,0,34.70171215,31776.46244,3442.415208,0,5109.831413,0
20220824-0000076,36:11.6,2228.06,956.47,2495.71,30.3,4291.49,185.84,218.16,30.3,4162.21,1235.406242,148.897047,209.2869128,30.3,125.0773154,18.03087248,14.81107383,30.3,78.38006711,0,1.01,12.12,30.3,40.4,0,0,30.3,40.4,854.978745,140.4846706,322.5449231,0,590.5421714,21.05050322,27.99744093,0,341.4042159,31856.99378,3469.125869,0,5026.041144,0
20220824-0000078,37:26.6,2227.05,1555.4,2931.02,30.3,450.46,127.26,127.26,30.3,4164.23,1257.341544,152.9912752,247.9651678,30.3,45.91771812,18.14610738,12.02510067,30.3,73.14704698,0,1.01,7.07,30.3,40.4,0,1.01,30.3,40.4,852.7817398,175.9838571,436.4907281,0,46.78216355,19.62964717,15.65863798,0,339.0901564,31599.30238,3424.854811,0,5047.431074,0
20220824-0000079,38:40.6,2223.01,654.48,2619.94,30.3,4650.04,111.1,127.26,30.3,462.58,1249.546242,138.4648993,201.3560403,30.3,139.3054362,16.81751678,12.49281879,30.3,56.45154362,0,0,17.17,30.3,40.4,0,1.01,30.3,40.4,854.4699697,111.6097925,298.5878626,0,614.4609127,16.69747374,17.67723335,0,78.35775415,31948.76238,3475.062479,0,5091.373696,0
20220824-0000080,39:54.6,2228.06,1237.25,1541.26,30.3,4669.23,86.86,218.16,30.3,435.31,1236.975762,159.1251656,200.8428477,30.3,185.6125828,15.6315894,12.98953642,30.3,45.51688742,0,2.02,5.05,30.3,40.4,0,0,30.3,40.4,863.7654671,154.9175848,267.0476183,0,786.6634888,13.33518958,23.29113222,0,44.24995844,31501.99494,3544.588828,0,5075.148444,0
20220824-0000081,41:10.6,2228.06,1555.4,2946.17,30.3,4649.03,125.24,127.26,30.3,4165.24,1253.699533,150.7728,189.3548,30.3,157.6206,18.12613333,12.5442,30.3,95.445,0,1.01,4.04,30.3,40.4,0,0,30.3,40.4,863.1622482,166.9405335,328.7956256,0,692.2914746,20.32469449,17.7455039,0,473.0670236,31948.76238,3415.208491,0,4988.475561,0
20220824-0000082,42:25.6,2222,1601.86,1247.35,30.3,4650.04,107.06,177.76,30.3,436.32,1220.531842,173.8927632,165.7197368,30.3,161.2810526,17.55539474,14.32605263,30.3,50.55315789,0,3.03,17.17,30.3,40.4,0,1.01,30.3,40.4,866.5549521,241.9028967,157.5473044,0,703.0849367,17.99453947,23.29073765,0,61.70573587,29842.99116,3419.288111,0,5033.731162,0
20220824-0000083,43:40.6,2225.03,990.81,1541.26,30.3,4296.54,107.06,82.82,30.3,478.74,1248.427785,144.5181208,193.7369799,30.3,96.85832215,16.46503356,10.24234899,30.3,56.29563758,0,0,17.17,30.3,40.4,0,1.01,30.3,40.4,855.5481041,138.3811288,240.6943603,0,483.6782763,15.74425634,10.30381067,0,77.74357477,31775.67262,3399.999271,0,4936.807402,0
20220824-0000084,44:56.6,2228.06,1575.6,2946.17,30.3,4225.84,112.11,152.51,30.3,4170.29,1266.751554,169.3524324,221.2036486,30.3,74.35783784,17.25871622,12.01081081,30.3,129.3414189,0,1.01,8.08,30.3,40.4,0,0,30.3,40.4,852.3936151,240.7779493,356.5331821,0,346.9688426,18.43582601,16.89648148,0,584.639616,31170.62,3466.848075,0,5041.988183,0
20220824-0000085,46:11.6,2225.03,1491.6286,3172.41,30.3,4210.69,162.61,121.2,30.3,4170.29,1231.090501,162.4713297,225.4415541,30.3,130.1876351,17.84560811,11.3897973,30.3,78.63668919,0,0,16.16,30.3,40.4,0,1.01,30.3,40.4,858.9484916,199.9430759,390.0449113,0,587.0365789,20.03595251,13.91945674,0,360.2938206,33364.45625,3429.474134,0,5319.720912,1
20220824-0000085,46:11.6,2225.03,1522.07,3172.41,30.3,4210.69,162.61,121.2,30.3,4170.29,1256.214797,167.4962162,225.4415541,30.3,130.1876351,17.84560811,11.3897973,30.3,78.63668919,0,0,16.16,30.3,40.4,0,1.01,30.3,40.4,850.4440511,206.1268824,390.0449113,0,587.0365789,19.08185953,13.91945674,0,343.136972,31775.67262,3535.540345,0,5066.400868,0
20220824-0000086,47:24.6,2224.02,1572.57,1888.7,30.3,4663.17,186.85,207.05,30.3,467.63,1190.27535,155.3341401,166.4441401,30.3,185.0165605,19.4666242,14.85407643,30.3,50.39707006,0,1.01,17.17,30.3,40.4,0,0,30.3,40.4,873.8412805,176.6988323,206.0938648,0,768.7830227,27.15633313,27.16414447,0,61.56331094,31170.62,3410.200378,0,4939.470521,0
20220824-0000087,48:38.6,2226.04,1200.89,3172.41,30.3,4338.96,154.53,176.75,30.3,4170.29,1262.149592,155.8217007,193.9406122,30.3,126.3393197,19.06632653,13.76210884,30.3,76.78061224,0,0,20.2,30.3,40.4,0,1.01,30.3,40.4,856.8804113,169.8007567,311.562909,0,595.3053893,23.14256262,23.37955069,0,343.6310425,30911.60247,3294.37326,0,4852.204273,0
20220824-0000088,49:53.1,2228.06,947.38,1888.7,30.3,4202.61,165.64,91.91,30.3,467.63,1187.941282,150.7554487,161.8654487,30.3,69.96839744,17.55198718,11.58910256,30.3,48.20160256,0,4.04,1.01,30.3,40.4,0,0,30.3,40.4,874.7198901,157.3680107,203.6312173,0,333.7856373,19.04074139,14.35560694,0,55.75698499,31855.88884,3478.964378,0,4942.008136,0
