Forming angle [o ],Tool diameter,Hole width,Step down,Feed rate,Spring-back
50,12,3,0.4,1500,0.04
60,16,5,1,1500,1.355
60,12,3,1,1000,1.021
55,12,0,1,500,0.961
50,16,5,0.4,1000,0.085
50,16,3,1,500,0.383
55,16,0,0.4,1500,1.496
55,8,5,1,1000,1.965
55,8,3,0.4,500,1.598
60,12,5,0.4,500,0.624
55,12,5,0.7,1500,0.854
50,8,5,0.7,500,1.003
50,8,0,1,1500,1.367
55,16,3,0.7,1000,0.524
60,8,3,0.7,1500,2.393
60,16,0,0.7,500,1.458
50,12,0,0.7,1000,0.711
60,8,0,0.4,1000,2.116
